number,value,datetime_start,datetime_complete,duration,params_cv,params_ensemble_strategy,params_n_ensemble,params_selection_strategy,params_stability_threshold,state
0,0.7425074626865671,2026-01-26 05:22:49.602014,2026-01-26 05:29:18.645187,0 days 00:06:29.043173,4,,1,stability,0.15599452033620265,COMPLETE
1,0.7379701492537314,2026-01-26 05:29:18.646574,2026-01-26 05:37:57.750720,0 days 00:08:39.104146,5,,1,stability,0.9699098521619943,COMPLETE
2,0.7425074626865671,2026-01-26 05:37:57.752321,2026-01-26 05:42:28.880412,0 days 00:04:31.128091,3,soft_voting,2,cross_val,,COMPLETE
3,0.731044776119403,2026-01-26 05:42:28.881578,2026-01-26 05:49:12.359238,0 days 00:06:43.477660,4,soft_voting,3,cross_val,,COMPLETE
4,0.7265074626865671,2026-01-26 05:49:12.360407,2026-01-26 05:50:59.025211,0 days 00:01:46.664804,3,,1,heuristic,,COMPLETE
5,0.7425074626865671,2026-01-26 05:50:59.026224,2026-01-26 05:55:34.699919,0 days 00:04:35.673695,3,,1,stability,0.6842330265121569,COMPLETE
6,0.7265074626865671,2026-01-26 05:55:34.700696,2026-01-26 05:58:10.779133,0 days 00:02:36.078437,3,hard_voting,5,heuristic,,COMPLETE
7,0.7115820895522388,2026-01-26 05:58:10.780339,2026-01-26 06:08:35.566417,0 days 00:10:24.786078,5,soft_voting,4,stability,0.9218742350231168,COMPLETE
8,0.7425074626865671,2026-01-26 06:08:35.567654,2026-01-26 06:13:03.569807,0 days 00:04:28.002153,3,hard_voting,2,stability,0.28093450968738076,COMPLETE
9,0.7265074626865671,2026-01-26 06:13:03.570948,2026-01-26 06:15:37.267189,0 days 00:02:33.696241,3,soft_voting,5,heuristic,,COMPLETE
10,0.735044776119403,2026-01-26 06:15:37.268908,2026-01-26 06:21:55.486200,0 days 00:06:18.217292,4,stacking,3,stability,0.015367264089091753,COMPLETE
11,0.7081194029850746,2026-01-26 06:21:55.487176,2026-01-26 06:28:59.132435,0 days 00:07:03.645259,4,stacking,2,cross_val,,COMPLETE
12,0.7115820895522388,2026-01-26 06:28:59.133983,2026-01-26 06:35:46.110778,0 days 00:06:46.976795,4,soft_voting,2,cross_val,,COMPLETE
13,0.7225074626865671,2026-01-26 06:35:46.112331,2026-01-26 06:43:59.273324,0 days 00:08:13.160993,5,soft_voting,2,cross_val,,COMPLETE
14,0.7425074626865671,2026-01-26 06:43:59.274402,2026-01-26 06:50:46.976352,0 days 00:06:47.701950,4,hard_voting,3,cross_val,,COMPLETE
15,0.7425074626865671,2026-01-26 06:50:46.977229,2026-01-26 06:57:12.244786,0 days 00:06:25.267557,4,,1,stability,0.20452459505912385,COMPLETE
16,0.735044776119403,2026-01-26 06:57:12.245974,2026-01-26 07:01:51.476110,0 days 00:04:39.230136,3,stacking,2,cross_val,,COMPLETE
17,0.719044776119403,2026-01-26 07:01:51.476956,2026-01-26 07:11:28.356672,0 days 00:09:36.879716,5,soft_voting,4,cross_val,,COMPLETE
18,0.7425074626865671,2026-01-26 07:11:28.357865,2026-01-26 07:16:02.807010,0 days 00:04:34.449145,3,,1,stability,0.5115839705159126,COMPLETE
19,0.7265074626865671,2026-01-26 07:16:02.808202,2026-01-26 07:19:17.566166,0 days 00:03:14.757964,4,soft_voting,3,heuristic,,COMPLETE
